序号,题目内容,选项A,选项B,选项C,选项D,正确答案
1,2025年国家网络安全宣传周主题是,网络安全为人民，网络安全靠人民,共建网络安全，共享网络文明,网络安全同担，网络生活共享,我身边的网络安全,A
2,《中华人民共和国网络安全法》于什么时间正式施行,2016年11月7日,2016年12月7日,2017年6月1日,2017年4月1日,C
3,根据《网络安全法》的规定，我国计算机系统实行哪种保护制度,责任制,主任责任制,安全等级保护,专职人员资格认证,C
4,下列关于计算机木马的说法错误的是,Word文档也会感染木马,尽量访问知名网站能减少感染木马的概率,杀毒软件对防止木马病毒泛滥具有重要作用,只要不访问互联网，就能避免受到木马侵害,D
5,从网站上下载的文件、软件，以下哪个处理措施最正确,直接打开或使用,先查杀病毒，再使用,下载完成自动安装,下载之后先做操作系统备份，如有异常恢复系统,B
6,为什么需要定期修改电脑、邮箱、网站的各类密码,遵循国家的安全法律,降低电脑受损的几率,确保不会忘掉密码,确保个人数据和隐私安全,D
7,用户收到一封可疑的电子邮件，要求用户提供银行账户及密码，这是属于哪类攻击,缓存溢出攻击,钓鱼攻击,暗门攻击,口令攻击,B
8,张三将微信个人头像换成微信群中某好友头像，并将昵称改为该好友的昵称，然后向该好友的其他好友发送一些欺骗信息。该行为属于以下哪类攻击,口令攻击,暴力破解,拒绝服务攻击,社会工程学攻击,D
9,信息安全的主要目的是为了保证信息的,完整性、机密性、可用性,安全性、可用性、机密性,完整性、安全性、机密性,可用性、传播性、整体性,A
10,信息安全应急响应，是指一个组织为了应对各种安全意外事件的发生所采取的防范措施，既包括预防性措施，也包括事件发生后的应对措施。应急响应方法和过程并不是唯一的，通常应急响应管理过程为,准备、检测、遏制、根除、恢复和跟踪总结,准备、检测、遏制、根除、跟踪总结和恢复,准备、检测、遏制、跟踪总结、恢复和根除,准备、检测、遏制、恢复、跟踪总结和根除,A
11,日常上网过程中，下列选项，存在安全风险的行为是,将电脑开机密码设置成15位强密码,安装盗版操作系统,在微信聊天过程中不点击任何不明链接,不同网站使用不同的用户名和口令,B
12,下面哪些行为可能会导致电脑被安装木马程序,上安全网站浏览资讯,发现邮箱中有一封陌生邮件，杀毒后下载邮件中的附件,下载资源时，优先考虑安全性较高的绿色网站,搜索下载可免费看全部集数《长安十二时辰》的播放器,D
13,国家哪个部门负责统筹协调网络安全工作和相关监督管理工作,公安部门,网信部门,工业和信息化部门,通讯管理部门,B
14,以下关于个人信息保护的做法不正确的是,在社交网站类软件上发布火车票、飞机票、护照、照片、日程、行踪等。,在图书馆、打印店等公共场合，或是使用他人手机登录账号，不要选择自动保存密码，离开时记得退出账号。,从常用应用商店下载App，不从陌生、不知名应用商店、网站页面下载App。,填写调查问卷、扫二维码注册尽可能不使用真实个人信息。,A
15,为了避免个人信息泄露，以下做法正确的是,撕毁快递箱上的面单,把快递箱子放进可回收垃圾里,把快递面单撕下来再放进干垃圾分类中,以上做法都可以,A
16,App在申请可收集个人信息的权限时，以下说法正确的,应同步告知收集使用的目的,直接使用就好,默认用户同意,在隐秘或不易发现位置提示用户,A
17,身份证件号码、个人生物识别信息、通信记录和内容、健康生理信息等属于哪类信息,属于个人敏感信息,属于公共信息,属于个人信息,以上都对,A
18,在网上进行用户注册，设置用户密码时应当,涉及财产、支付类账户的密码应采用高强度密码,设置123456等简单好记的数字、字母为密码,所有账号都是一种密码，方便使用,使用自己或父母生日作为密码,A
19,下列不属于收集个人信息的合法性要求的有,不得欺诈、诱骗、强迫个人信息主体提供其个人信息,隐瞒产品或服务所具有的收集个人信息的功能,不得从非法渠道获取个人信息,不得收集法律法规明令禁止收集的个人信息,B
20,以下说法不正确的是,不需要共享热点时及时关闭共享热点功能,在安装和使用手机App时，不用阅读隐私政策或用户协议，直接掠过即可,定期清除后台运行的App进程,及时将App更新到最新版,B
21,防止上网浏览记录被追踪，以下做法正确的是,不使用浏览器,可以通过清除浏览器 Cookie 或者拒绝 Cookie 等方式,在不连接网络情况下使用浏览器,以上做法都可以,B
22,预防个人信息泄露不正确的方法有,增强个人信息安全意识，不要轻易将个人信息提供给无关人员,妥善处置快递单、车票、购物小票等包含个人信息的单据,个人电子邮箱、网络支付及银行卡等密码要有差异,经常参加来源不明的网上、网下调查活动,D
23,在安装新的 APP 时，弹窗提示隐私政策后，正确的做法是,跳过阅读尽快完成安装,粗略浏览，看过就行,仔细逐条阅读后，再进行判断是否继续安装该 APP,以上说法都对,C
24,《中华人民共和国网络安全法》认为良好的网络安全环境需要全社会怎么做,诚信守信，健康文明网络行为,推动社会主义价值观传播,提高全社会网络安全意识和水平,以上都是,D
25,以下关于使用 APP 的习惯不正确的是,不使用强制收集无关个人信息的 APP,为了获取更多积分，填写真实姓名、出生日期、手机号码等所有的信息,谨慎使用各种需要填写个人信息的问卷调查的 App,加强对不良 APP 的辨识能力，不轻易被赚钱等赚头迷惑,B
26,以下关于“隐私政策”的说法，不正确的是,App 实际的个人信息处理行为可以超出隐私政策所述范围,App 实际的个人信息处理行为应与“隐私政策”等公开的收集使用规则一致,点击同意“隐私政策”，并不意味着个人信息都会被收集，很多都需用户在具体的业务场景下进行再次授权。,完善的隐私政策通常包含收集使用个人信息的目的、方式、范围，与第三方共享个人信息情况。,A
27,以下生活习惯属于容易造成个人信息泄露的是,废旧名片当垃圾丢弃,淘汰手机卡直接卖给二手货市场,使用即时通讯软件传输身份证复印件,以上都有可能,D
28,以下哪个生活习惯属于助于保护用户个人信息,银行卡充值后的回单随手扔掉,在网站上随意下载免费和破解软件,在手机和电脑上安装防偷窥的保护膜,看见二维码，先扫了再说,C
29,《网络安全法》认为从网络安全的角度考虑，网络产品和服务应当,可用,可信,自主,可控,B
30,下列行为中不属于侵犯知识产权的是,把自己从音像店购买的《美妙生活》原版 CD 转录，然后传给同学试听,将购买的正版游戏上网到网盘中，供网友下载使用,下载了网络上的一个具有试用期限的软件，安装使用,把从微软公司购买的原版 Windows7 系统光盘复制了一份备份，并提供给同学,C
31,维护网络安全，首先要知道风险在哪里，是什么样的风险，什么时候发生风险，最基本最基础的工作是,感知网络安全态势,实施风险评估,加强安全策略,实行总体防御,A
32,《网络安全法》维护了以下哪些利益与权益,网络空间主权,国家安全,社会公共利益,以上三个都是,D
33,任何个人和组织有权对危害网络安全的行为向哪些部门举报,网信，电信，公安,网信，网监，公安,网监，电信，法院,网信，电信，法院,A
34,网络产品、服务应当符合相关国家标准的什么要求,规范性,自觉性,强制性,建议性,C
35,《网络安全法》要求，网络运营者为用户办理网络接入、域名注册服务，办理固定电话、移动电话等入网手续，或者为用户提供信息发布、即时通讯等服务，应当要求用户提供,家庭住址,工作单位,真实身份信息,联系电话,C
36,《网络安全法》第五十九条规定，网络运营者不履行网络安全保护义务的，最多处以罚款,五万元,十万元,五十万元,一百万元,B
37,2014年，互联网上爆出近几十万12306网站的用户信息，12306官方网站称是通过什么方式泄露的,信息明文存储,拖库,木马,撞库,D
38,棱镜门事件主要曝光了互联网的什么活动,监听,看管,羁押,受贿,A
39,某网站吸纳会员时要求交纳相应会费，交纳后网站就会给购买者一个会员编号和一个会员“昵称”，该购买者就正式成为网站会员。成为会员后，就可自由发展下线，收取提成，形成五五复制的上下级关系。这种行为属于,网络攻击,网络钓鱼,网络传销,网络诈骗,C
40,物联网就是物物相连的网络，物联网的核心和基础仍然是,城域网,互联网,局域网,内部办公网,B
41,下列有关隐私权的表述，错误的是,网络时代,隐私权的保护受到较大冲击,虽然网络世界不同于现实世界,但也需要保护个人隐私,由于网络是虚拟世界,所以在网上不需要保护个人的隐私,可以借助法律来保护网络隐私权,C
42,注册或者浏览社交类网站时，不恰当的做法是,尽量不要填写过于详细的个人资料,不要轻易加社交网站好友,充分利用社交网站的安全机制,信任他人转载的信息,D
43,好友的 QQ 突然发来一个网站链接要求投票，最合理的做法是,因为是其好友信息，直接打开链接投票,可能是好友 QQ 被盗，发来的是恶意链接，先通过手机跟朋友确认链接无异常后，再酌情考虑是否投票,不参与任何投票,把好友加入黑名单,B
44,微信收到“微信团队”的安全提示：“您的微信账号在 16:46 尝试在另一个设备登录。登录设备：XX 品牌 XX 型号”。这时我们应该怎么做,有可能是误报，不用理睬,确认是否是自己的设备登录，如果不是，则尽快修改密码,自己的密码足够复杂，不可能被破解，坚决不修改密码,拨打 110 报警，让警察来解决,B
45,小强接到电话，对方称他的快递没有及时领取，请联系 XXX 电话，小强拨打该电话后提供自己的私人信息后，对方告知小强并没有快递。过了一个月之后，小强的多个账号都无法登录。在这个事件当中，请问小强最有可能遇到了什么情况,快递信息错误而已，小强网站账号丢失与快递这件事情无关,小强遭到了电话诈骗，想欺骗小强财产,小强遭到了社会工程学诈骗，得到小强的信息从而反推出各种网站的账号密码,小强的多个网站账号使用了弱口令，所以被盗,C
